"CÓDIGO DO
IBGE";MUNICÍPIO;UF;NOME DA UNIDADE;ENDEREÇO ;RESPONSÁVEL
412625;SARANDI;PR;Centro de Referência de Atendimento à Mulher (CRAM) - Sarandi;Rua Castro Alves, n° 2688;Municipal
412810;UMUARAMA;PR;Centro de Referência de Atendimento à Mulher (CRAM) - Umuarama;Rua Pingüim, n° 3334, esquina com a Rua Anhumaí.;Municipal
330020;ARARUAMA;RJ;Centro de Referência de Atendimento à Mulher - Araruama;Avenida Brasil, nº 480;Municipal
330023;ARMAÇÃO DOS BÚZIOS;RJ;Centro Especializado de Atendimento à Mulher (CEAM)-Armação dos Búzios; Avenida José Bento Ribeiro Dantas, nº 4.994;Municipal
330040;BARRA MANSA;RJ;Centro Especializado de Atendimento à Mulher (CEAM) Maria Aparecida Roseli Miranda - Barra Mansa ;Avenida Prefeito João Chiesse Filho, nº 302  ;Municipal
330045;BELFORD ROXO;RJ;Centro Especializado de Atendimento a Mulher (CEAMBEL) - Belford Roxo ;Avenida Joaquim da Costa Lima, nº 2490  ;Estadual
330070;CABO FRIO;RJ;Centro Especializado de Atendimento à Mulher (CEAM) – Cabo Frio;Rua Getulio Vargas, nº 173   Referência: na rua da Deam. ;Municipal
330170;DUQUE DE CAXIAS;RJ;Centro de Referência de Atendimento à Mulher em Situação de Violência (CR-Mulher) - Duque de Caxias ;Rua Manoel Vieira, s/nº;Municipal
330190;ITABORAÍ;RJ;Centro Especializado de Atendimento à Mulher (CEAM) - Itaboraí  ;Avenida 22 de Maio, nº 7942 - Referência: Casa Rosa em frente ao Posto Shell;Municipal
330220;ITAPERUNA;RJ;Centro Integrado de Atendimento à Mulher (CIAM) Maria Magdalena da Silva Fernandes - Itaperuna;Rua Isabel Vieira Martins, nº 131 Bairro: Presidente Costa e Silva;Municipal
330225;ITATIAIA;RJ;Centro de Referência da Mulher (CRM) - Itatiaia ;Rua José Antônio Pereira, nº 303;Municipal
330240;MACAÉ;RJ;Centro de Referência da Mulher (CRM) Pérola Benjamin Bichara - Macaé ;Rua São João, nº 33;Municipal
330270;MARICÁ;RJ;Centro Especializado de Atendimento à Mulher (CEAM) Natália Coutinho Fernandes - Maricá ;Rua Uirapurus nº 50 ;Municipal
330285;MESQUITA;RJ;Centro de Referência de Atendimento à Mulher em Situação de Violência (CAMM) - Mesquita;Rua Egídio, nº 1459;Municipal
330320;NILÓPOLIS;RJ;Casa da Mulher Nilopolitana - Nilópolis;Rua Antonio João Mendonça, nº 65;Municipal
330330;NITERÓI;RJ;Centro Especializado de Atendimento à Mulher (CEAM) - Niterói  ;Rua Cônsul Francisco Cruz, nº 49- Referência: Próximo ao Supermercado Guanabara;Municipal
330350;NOVA IGUAÇU;RJ;Centro Especializado de Atendimento à Mulher (CEAM) Baixada - Nova Iguaçu;Rua Bernardino de Mello, s/nº ;Municipal
330350;NOVA IGUAÇU;RJ;Núcleo de Referência de Atendimento à Mulher em Situação de Violência - Nova Iguaçu   ;Rua Terezinha Pinto nº 297 - 2º Andar - Referência: no mesmo prédio do CRAS;Municipal
330340;NOVA FRIBURGO;RJ;Centro de Referência Especializado da Mulher (CREM) - Nova Friburgo;Avenida Alberto Brauner, nº 223 - Referencia dentro da antiga Rodoviária ;Municipal
330360;PARACAMBI;RJ;Centro Especializado de Atendimento à Mulher em Situação de Violência (CRAMP/SV) Clarice Lavras da Silva - Paracambi ;Rua São Paulo, s/nº - Referência : Atrás do Campo de Futebol/Antigo Posto de Saúde;Municipal
330390;PETRÓPOLIS;RJ;Centro de Referência de Atendimento à Mulher (CRAM) Tia Alice - Petrópolis;Rua Santos Dumont, nº 100 - Referência: Prédio de fundos do Centro de Saúde;Municipal
330420;RESENDE;RJ;Núcleo Integrado de Atendimento à Mulher (NIAM) - Resende;Rua Macedo de Miranda, nº 81- Referência: Em frente à entrada de vistoria do DETRAN ;Municipal
330452;RIO DAS OSTRAS;RJ;Centro Especializado de Atendimento a Mulher (CEAM) Casa da Mulher - Rio das Ostras ;Rua Jandira Moraes Pimentel, nº 44;Municipal
