UF;Raça/Cor;Situação do Domicílio;Tipo de família;Famílias
Tocantins;Todas as raças;Urbana;Outros tipos;33159
Tocantins;Todas as raças;Todos as situações;Mulher sem cônjuge com filhas/os;77295
Tocantins;Todas as raças;Todos as situações;Todos os tipos;184439
Tocantins;Todas as raças;Todos as situações;Outros;15050
Tocantins;Todas as raças;Todos as situações;Casal com filhas/os;45407
Tocantins;Todas as raças;Todos as situações;Casal sem filhas/os;19903
Tocantins;Todas as raças;Todos as situações;Unipessoal;26784
Todas as UFs;Branca;Todos as situações;Outros tipos;12500228
Todas as UFs;Negra;Todos as situações;Outros tipos;15215102
Todas as UFs;Outras;Todos as situações;Outros tipos;273102
Todas as UFs;Todas as raças;Rural;Outros tipos;15376115
Todas as UFs;Todas as raças;Urbana;Outros tipos;12612317
Todas as UFs;Todas as raças;Todos as situações;Casal sem filhas/os;2961295
Todas as UFs;Todas as raças;Todos as situações;Outros;2001998
Todas as UFs;Todas as raças;Todos as situações;Unipessoal;5106255
Todas as UFs;Todas as raças;Todos as situações;Todos os tipos;27988432
Todas as UFs;Todas as raças;Todos as situações;Mulher sem cônjuge com filhas/os;11438230
Todas as UFs;Todas as raças;Todos as situações;Casal com filhas/os;6480654
